Data,Lançamento,Dcto.,Crédito (R$),Débito (R$),Saldo (R$),,
23/01/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,107,8,,"R$ 408,00",85
23/01/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,157,70,,"R$ 566,00",55
24/01/2017,REDE HIPER CRED REDECARD S A,6907268,73,98,,"R$ 640,00",53
30/01/2017,RECEBIMENTO FORNECEDOR BCO BRADESCO CARTOES S/A PAGFOR,4787383,41,45,,"R$ 681,00",98
30/01/2017,CIELO VDA DEBITO MASTER CIA BRAS DE MEIOS DE PAGAMENTO,9338296,52,37,,"R$ 734,00",35
30/01/2017,CIELO VDA DEBITO MASTER CIA BRAS DE MEIOS DE PAGAMENTO,9338296,100,17,,"R$ 834,00",52
31/01/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,116,81,,"R$ 951,00",33
01/02/2017,CIELO VDA CREDITO MASTER CIA BRAS DE MEIOS DE PAGAMENTO,9338296,75,70,,"R$ 1.027,00",3
01/02/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,118,28,,"R$ 1.145,00",31
02/02/2017,VENDA CARTAO DE CREDITO,9338296,4637,60,,"R$ 5.782,00",91
02/02/2017,CARTAO VISA ELECTRON CIA BRAS DE MEIOS DE PAGAMENTO,9338296,94,43,,"R$ 5.877,00",34
02/02/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,82,36,,"R$ 5.959,00",70
03/02/2017,CIELO VDA CREDITO MASTER CIA BRAS DE MEIOS DE PAGAMENTO,9338296,66,97,,"R$ 6.026,00",67
03/02/2017,REDE HIPER CRED REDECARD S A,6907268,32,73,,"R$ 6.059,00",40
03/02/2017,RECIBO DE RETIRADA ESPECIE,1030276,,-5000,0,"R$ 1.059,00",40
06/02/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,31,15,,"R$ 1.090,00",55
06/02/2017,REDE HIPER CRED REDECARD S A,6907268,78,21,,"R$ 1.168,00",76
07/02/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,36,2,,"R$ 1.204,00",78
07/02/2017,TARIFA RECIBO RETIRADA RETIRADA COM RECIBO AVULSO,30217,,-4,35,"R$ 1.200,00",43
10/02/2017,CIELO VDA DEBITO MASTER CIA BRAS DE MEIOS DE PAGAMENTO,9338296,38,94,,"R$ 1.239,00",37
10/02/2017,SAQUE COM CARTAO CB ESPECIE,5882080,,-486,51,"R$ 752,00",86
14/02/2017,DEP DINH CORRESP BANC O PROPRIO FAVORECIDO,5882080,1100,0,,"R$ 1.852,00",86
14/02/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,74,96,,"R$ 1.927,00",82
14/02/2017,REDE HIPER CRED REDECARD S A,6907268,53,2,,"R$ 1.980,00",84
15/02/2017,CARTAO VISA ELECTRON CIA BRAS DE MEIOS DE PAGAMENTO,9338296,76,91,,"R$ 2.057,00",75
15/02/2017,TARIFA BANCARIA CESTA PJ 2,10217,,-46,0,"R$ 2.011,00",75
16/02/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,64,84,,"R$ 2.076,00",59
20/02/2017,DEP DINH CORRESP BANC O PROPRIO FAVORECIDO,5882080,1000,0,,"R$ 3.076,00",59
20/02/2017,CARTAO VISA ELECTRON CIA BRAS DE MEIOS DE PAGAMENTO,9338296,26,28,,"R$ 3.102,00",87
20/02/2017,RECEBIMENTO FORNECEDOR CIA BRAS DE MEIOS DE PAGAMENTO,9338296,33,67,,"R$ 3.136,00",54
20/02/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,34,7,,"R$ 3.170,00",61
20/02/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,69,61,,"R$ 3.240,00",22
20/02/2017,REDE HIPER CRED REDECARD S A,6907268,48,21,,"R$ 3.288,00",43
20/02/2017,CHEQUE COMPENSADO,350,,-1800,0,"R$ 1.488,00",43
20/02/2017,CHEQUE COMPENSADO,354,,-1000,0,"R$ 488,00",43
21/02/2017,CIELO VDA DEBITO MASTER CIA BRAS DE MEIOS DE PAGAMENTO,9338296,29,20,,"R$ 517,00",63
23/02/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,7,79,,"R$ 525,00",42
24/02/2017,CIELO VDA DEBITO MASTER CIA BRAS DE MEIOS DE PAGAMENTO,9338296,97,35,,"R$ 622,00",77
24/02/2017,REDE HIPER CRED REDECARD S A,6907268,41,39,,"R$ 664,00",16
01/03/2017,CARTAO VISA ELECTRON CIA BRAS DE MEIOS DE PAGAMENTO,9338296,62,30,,"R$ 726,00",46
01/03/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,34,7,,"R$ 760,00",53
01/03/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,37,48,,"R$ 798,00",1
02/03/2017,VENDA CARTAO DE CREDITO,9338296,7178,86,,"R$ 7.976,00",87
02/03/2017,DEP DINH CORRESP BANC O PROPRIO FAVORECIDO,5882080,1300,0,,"R$ 9.276,00",87
02/03/2017,REDE HIPER CRED REDECARD S A,6907268,35,53,,"R$ 9.312,00",40
06/03/2017,CARTAO VISA ELECTRON CIA BRAS DE MEIOS DE PAGAMENTO,9338296,64,25,,"R$ 9.376,00",65
06/03/2017,CIELO VDA DEBITO MASTER CIA BRAS DE MEIOS DE PAGAMENTO,9338296,32,13,,"R$ 9.408,00",78
06/03/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,29,20,,"R$ 9.437,00",98
06/03/2017,REDE HIPER CRED REDECARD S A,6907268,31,72,,"R$ 9.469,00",70
07/03/2017,CARTAO VISA ELECTRON CIA BRAS DE MEIOS DE PAGAMENTO,9338296,29,20,,"R$ 9.498,00",90
07/03/2017,CHEQUE COMPENSADO,353,,-1300,0,"R$ 8.198,00",90
07/03/2017,DEVOL CHQ COMPE IRREGUL,353,1300,0,,"R$ 9.498,00",90
09/03/2017,RECIBO DE RETIRADA ESPECIE,1030487,,-6500,0,"R$ 2.998,00",90
10/03/2017,CHEQUE COMPENSADO,351,,-1585,0,"R$ 1.413,00",90
13/03/2017,CARTAO VISA ELECTRON CIA BRAS DE MEIOS DE PAGAMENTO,9338296,5,84,,"R$ 1.419,00",74
13/03/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,53,5,,"R$ 1.472,00",79
13/03/2017,TARIFA RECIBO RETIRADA RETIRADA COM RECIBO AVULSO,90317,,-4,35,"R$ 1.468,00",44
14/03/2017,REDE HIPER CRED REDECARD S A,6907268,53,2,,"R$ 1.521,00",46
15/03/2017,TARIFA BANCARIA CESTA PJ 2,10317,,-46,0,"R$ 1.475,00",46
17/03/2017,REDE HIPER CRED REDECARD S A,6907268,44,9,,"R$ 1.519,00",55
20/03/2017,REDE HIPER CRED REDECARD S A,6907268,71,99,,"R$ 1.591,00",54
29/03/2017,CARTAO VISA ELECTRON CIA BRAS DE MEIOS DE PAGAMENTO,9338296,21,90,,"R$ 1.613,00",44
31/03/2017,VENDA CARTAO DE CREDITO,9338296,3884,62,,"R$ 5.498,00",6
31/03/2017,REDE HIPER CRED REDECARD S A,6907268,34,3,,"R$ 5.532,00",9
03/04/2017,VENDA CARTAO DE CREDITO,9338296,69,27,,"R$ 5.601,00",36
03/04/2017,CIELO VDA DEBITO MASTER CIA BRAS DE MEIOS DE PAGAMENTO,9338296,9,73,,"R$ 5.611,00",9
03/04/2017,CIELO VDA DEBITO MASTER CIA BRAS DE MEIOS DE PAGAMENTO,9338296,11,68,,"R$ 5.622,00",77
03/04/2017,CIELO VDA CREDITO MASTER CIA BRAS DE MEIOS DE PAGAMENTO,9338296,339,39,,"R$ 5.962,00",16
03/04/2017,CIELO VDA CREDITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,54,73,,"R$ 6.016,00",89
03/04/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,35,5,,"R$ 6.051,00",94
03/04/2017,REDE HIPER CRED REDECARD S A,6907268,35,52,,"R$ 6.087,00",46
03/04/2017,SAQUE C/C BDN Ag05882maq026085seq0114503041535,6085145,,-2000,0,"R$ 4.087,00",46
03/04/2017,RECIBO RETIRADA CB ESPECIE,1,,-2000,0,"R$ 2.087,00",46
05/04/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,25,80,,"R$ 2.113,00",26
05/04/2017,SAQUE COM CARTAO CB ESPECIE,5882080,,-244,0,"R$ 1.869,00",26
13/04/2017,TARIFA BANCARIA CESTA PJ 2,30417,,-46,0,"R$ 1.823,00",26
17/04/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,146,2,,"R$ 1.969,00",28
17/04/2017,REDE HIPER CRED REDECARD S A,6907268,53,2,,"R$ 2.022,00",30
17/04/2017,RECIBO RETIRADA CB ESPECIE,1,,-1192,9,"R$ 830,00",21
19/04/2017,DEP DINH CORRESP BANC O PROPRIO FAVORECIDO,5882080,100,0,,"R$ 930,00",21
19/04/2017,REDE HIPER CRED REDECARD S A,6907268,72,0,,"R$ 1.002,00",21
20/04/2017,CARTAO VISA ELECTRON CIA BRAS DE MEIOS DE PAGAMENTO,9338296,60,36,,"R$ 1.062,00",57
20/04/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,4,87,,"R$ 1.067,00",44
20/04/2017,CHEQUE COMPENSADO,355,,-850,0,"R$ 217,00",44
20/04/2017,DEVOL CHQ COMPE IRREGUL,355,850,0,,"R$ 1.067,00",44
24/04/2017,CIELO VDA DEBITO MASTER CIA BRAS DE MEIOS DE PAGAMENTO,9338296,11,68,,"R$ 1.079,00",12
25/04/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,19,47,,"R$ 1.098,00",59
25/04/2017,REDE HIPER CRED REDECARD S A,6907268,22,52,,"R$ 1.121,00",11
27/04/2017,CHEQUE COMPENSADO,355,,-850,0,"R$ 271,00",11
02/05/2017,VENDA CARTAO DE CREDITO,9338296,7302,69,,"R$ 7.573,00",80
02/05/2017,CARTAO VISA ELECTRON CIA BRAS DE MEIOS DE PAGAMENTO,9338296,19,47,,"R$ 7.593,00",27
02/05/2017,CIELO VDA CREDITO MASTER CIA BRAS DE MEIOS DE PAGAMENTO,9338296,32,8,,"R$ 7.625,00",35
02/05/2017,CIELO VDA CREDITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,38,40,,"R$ 7.663,00",75
02/05/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,11,68,,"R$ 7.675,00",43
02/05/2017,REDE HIPER CRED REDECARD S A,6907268,61,92,,"R$ 7.737,00",35
03/05/2017,VENDA CARTAO DE CREDITO,9338296,104,9,,"R$ 7.841,00",44
03/05/2017,CIELO VDA CREDITO MASTER CIA BRAS DE MEIOS DE PAGAMENTO,9338296,32,37,,"R$ 7.873,00",81
04/05/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,41,62,,"R$ 7.915,00",43
08/05/2017,CARTAO VISA ELECTRON CIA BRAS DE MEIOS DE PAGAMENTO,9338296,42,44,,"R$ 7.957,00",87
08/05/2017,REDE HIPER CRED REDECARD S A,6907268,30,19,,"R$ 7.988,00",6
09/05/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,135,56,,"R$ 8.123,00",62
10/05/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,51,17,,"R$ 8.174,00",79
10/05/2017,RECIBO RETIRADA CB ESPECIE,5882080,,-3500,0,"R$ 4.674,00",79
10/05/2017,SAQUE COM CARTAO CB ESPECIE,5882080,,-1000,0,"R$ 3.674,00",79
10/05/2017,CHEQUE COMPENSADO,357,,-1560,0,"R$ 2.114,00",79
11/05/2017,SAQUE COM CARTAO CB ESPECIE,5882080,,-500,0,"R$ 1.614,00",79
11/05/2017,CHEQUE COMPENSADO,352,,-850,0,"R$ 764,00",79
11/05/2017,CHEQUE COMPENSADO,360,,-603,0,"R$ 161,00",79
12/05/2017,CIELO VDA DEBITO MASTER CIA BRAS DE MEIOS DE PAGAMENTO,9338296,95,89,,"R$ 257,00",68
12/05/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,26,28,,"R$ 283,00",96
15/05/2017,CARTAO VISA ELECTRON CIA BRAS DE MEIOS DE PAGAMENTO,9338296,125,58,,"R$ 409,00",54
15/05/2017,CIELO VDA DEBITO MASTER CIA BRAS DE MEIOS DE PAGAMENTO,9338296,87,61,,"R$ 497,00",15
15/05/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,82,74,,"R$ 579,00",89
15/05/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,261,38,,"R$ 841,00",27
15/05/2017,REDE HIPER CRED REDECARD S A,6907268,53,2,,"R$ 894,00",29
15/05/2017,TARIFA BANCARIA CESTA PJ 2,20517,,-46,0,"R$ 848,00",29
16/05/2017,REDE HIPER CRED REDECARD S A,6907268,101,81,,"R$ 950,00",10
17/05/2017,CARTAO VISA ELECTRON CIA BRAS DE MEIOS DE PAGAMENTO,9338296,9,73,,"R$ 959,00",83
17/05/2017,CIELO VDA DEBITO MASTER CIA BRAS DE MEIOS DE PAGAMENTO,9338296,48,67,,"R$ 1.008,00",50
17/05/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,62,89,,"R$ 1.071,00",39
18/05/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,79,54,,"R$ 1.150,00",93
23/05/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,7,30,,"R$ 1.158,00",23
24/05/2017,CIELO VDA DEBITO MASTER CIA BRAS DE MEIOS DE PAGAMENTO,9338296,23,27,,"R$ 1.181,00",50
26/05/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,73,99,,"R$ 1.255,00",49
29/05/2017,DEP DINH CORRESP BANC O PROPRIO FAVORECIDO,5882080,2000,0,,"R$ 3.255,00",49
30/05/2017,VENDA CARTAO DE CREDITO,9338296,6907,85,,"R$ 10.163,00",34
30/05/2017,CIELO VDA DEBITO MASTER CIA BRAS DE MEIOS DE PAGAMENTO,9338296,48,47,,"R$ 10.211,00",81
30/05/2017,CHEQUE COMPENSADO,358,,-2065,0,"R$ 8.146,00",81
30/05/2017,DEVOL CHQ COMPE IRREGUL,358,2065,0,,"R$ 10.211,00",81
31/05/2017,RECIBO DE RETIRADA ESPECIE,1030294,,-7000,0,"R$ 3.211,00",81
31/05/2017,TARIFA BANCARIA TAR ENTREGA TAL DOMICILIO,500001,,-7,15,"R$ 3.204,00",66
01/06/2017,REDE HIPER CRED REDECARD S A,6907268,26,41,,"R$ 3.231,00",7
01/06/2017,CHEQUE COMPENSADO,358,,-2065,0,"R$ 1.166,00",7
02/06/2017,VENDA CARTAO DE CREDITO,9338296,499,75,,"R$ 1.665,00",82
02/06/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,129,48,,"R$ 1.795,00",30
02/06/2017,TARIFA RECIBO RETIRADA RETIRADA COM RECIBO AVULSO,310517,,-4,35,"R$ 1.790,00",95
05/06/2017,REDE HIPER CRED REDECARD S A,6907268,25,7,,"R$ 1.816,00",2
06/06/2017,CARTAO VISA ELECTRON CIA BRAS DE MEIOS DE PAGAMENTO,9338296,52,35,,"R$ 1.868,00",37
07/06/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,97,35,,"R$ 1.965,00",72
07/06/2017,CHEQUE COMPENSADO,356,,-952,0,"R$ 1.013,00",72
08/06/2017,CHEQUE COMPENSADO,361,,-603,0,"R$ 410,00",72
09/06/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,36,99,,"R$ 447,00",71
12/06/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,58,41,,"R$ 506,00",12
13/06/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,65,22,,"R$ 571,00",34
14/06/2017,VENDA CARTAO DE CREDITO,9338296,5083,73,,"R$ 5.655,00",7
14/06/2017,CIELO VDA DEBITO MASTER CIA BRAS DE MEIOS DE PAGAMENTO,9338296,22,30,,"R$ 5.677,00",37
14/06/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,138,23,,"R$ 5.815,00",60
14/06/2017,REDE HIPER CRED REDECARD S A,6907268,32,11,,"R$ 5.847,00",71
14/06/2017,TARIFA BANCARIA CESTA PJ 2,10617,,-46,0,"R$ 5.801,00",71
16/06/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,37,97,,"R$ 5.839,00",68
16/06/2017,REDE HIPER CRED REDECARD S A,6907268,101,81,,"R$ 5.941,00",49
16/06/2017,SAQUE C/C BDN Ag05882maq026085seq0918116060815,6085181,,-1200,0,"R$ 4.741,00",49
16/06/2017,SAQUE C/C BDN Ag05882maq026085seq0918716060816,6085187,,-800,0,"R$ 3.941,00",49
16/06/2017,RECIBO RETIRADA CB ESPECIE,1,,-3000,0,"R$ 941,00",49
19/06/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,19,47,,"R$ 960,00",96
21/06/2017,CIELO VDA DEBITO MASTER CIA BRAS DE MEIOS DE PAGAMENTO,9338296,40,72,,"R$ 1.001,00",68
21/06/2017,CHEQUE COMPENSADO,364,,-600,0,"R$ 401,00",68
22/06/2017,CARTAO VISA ELECTRON CIA BRAS DE MEIOS DE PAGAMENTO,9338296,145,43,,"R$ 547,00",11
22/06/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,148,75,,"R$ 695,00",86
23/06/2017,VENDA CARTAO DE CREDITO,9338296,5431,77,,"R$ 6.127,00",63
23/06/2017,CIELO VDA DEBITO MASTER CIA BRAS DE MEIOS DE PAGAMENTO,9338296,77,55,,"R$ 6.205,00",18
26/06/2017,CARTAO VISA ELECTRON CIA BRAS DE MEIOS DE PAGAMENTO,9338296,153,86,,"R$ 6.359,00",4
26/06/2017,CIELO VDA DEBITO MASTER CIA BRAS DE MEIOS DE PAGAMENTO,9338296,32,96,,"R$ 6.392,00",0
26/06/2017,CIELO VDA DEBITO MASTER CIA BRAS DE MEIOS DE PAGAMENTO,9338296,123,13,,"R$ 6.515,00",13
26/06/2017,RECIBO RETIRADA CB ESPECIE,1,,-2000,0,"R$ 4.515,00",13
26/06/2017,RECIBO RETIRADA CB ESPECIE,5882080,,-3000,0,"R$ 1.515,00",13
26/06/2017,SAQUE COM CARTAO CB ESPECIE,5882080,,-1000,0,"R$ 515,00",13
27/06/2017,CIELO VDA DEBITO MASTER CIA BRAS DE MEIOS DE PAGAMENTO,9338296,69,80,,"R$ 584,00",93
27/06/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,104,6,,"R$ 688,00",99
28/06/2017,CIELO VDA DEBITO MASTER CIA BRAS DE MEIOS DE PAGAMENTO,9338296,24,24,,"R$ 713,00",23
29/06/2017,CARTAO VISA ELECTRON CIA BRAS DE MEIOS DE PAGAMENTO,9338296,43,63,,"R$ 756,00",86
29/06/2017,CIELO VDA DEBITO MASTER CIA BRAS DE MEIOS DE PAGAMENTO,9338296,139,61,,"R$ 896,00",47
30/06/2017,VENDA CARTAO DE CREDITO,9338296,38,78,,"R$ 935,00",25
30/06/2017,VENDA CARTAO DE CREDITO,9338296,5595,66,,"R$ 6.530,00",91
03/07/2017,CARTAO VISA ELECTRON CIA BRAS DE MEIOS DE PAGAMENTO,9338296,98,89,,"R$ 6.629,00",80
03/07/2017,CARTAO VISA ELECTRON CIA BRAS DE MEIOS DE PAGAMENTO,9338296,127,0,,"R$ 6.756,00",80
03/07/2017,REDE HIPER CRED REDECARD S A,6907268,79,70,,"R$ 6.836,00",50
04/07/2017,CARTAO VISA ELECTRON CIA BRAS DE MEIOS DE PAGAMENTO,9338296,42,17,,"R$ 6.878,00",67
04/07/2017,CHEQUE COMPENSADO,365,,-550,0,"R$ 6.328,00",67
05/07/2017,CARTAO VISA ELECTRON CIA BRAS DE MEIOS DE PAGAMENTO,9338296,38,78,,"R$ 6.367,00",45
06/07/2017,CARTAO VISA ELECTRON CIA BRAS DE MEIOS DE PAGAMENTO,9338296,19,39,,"R$ 6.386,00",84
07/07/2017,CIELO VDA DEBITO MASTER CIA BRAS DE MEIOS DE PAGAMENTO,9338296,19,39,,"R$ 6.406,00",23
07/07/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,207,36,,"R$ 6.613,00",59
10/07/2017,CHEQUE COMPENSADO,363,,-1645,0,"R$ 4.968,00",59
10/07/2017,CHEQUE COMPENSADO,362,,-602,90,"R$ 4.365,00",69
10/07/2017,CHEQUE COMPENSADO,367,,-900,0,"R$ 3.465,00",69
11/07/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,77,88,,"R$ 3.543,00",57
12/07/2017,RECIBO RETIRADA CB ESPECIE,1,,-3500,0,"R$ 43,00",57
13/07/2017,REDE HIPER CRED REDECARD S A,6907268,37,38,,"R$ 80,00",95
14/07/2017,TARIFA BANCARIA CESTA PJ 2,30717,,-48,90,"R$ 32,00",5
17/07/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,77,88,,"R$ 109,00",93
17/07/2017,REDE HIPER CRED REDECARD S A,6907268,33,62,,"R$ 143,00",55
18/07/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,18,50,,"R$ 162,00",5
